home_team,away_team,event_date,event_time,matchday,event_timestamp,home_team_id,away_team_id,is_planned_tf
MFK Karviná,AC Sparta Praha,2025-02-15,19:00,22,2025-02-15 19:00:00,9,6,False
AC Sparta Praha,SK Dynamo České Budějovice,2025-02-22,19:00,23,2025-02-22 19:00:00,6,10,False
SK Sigma Olomouc,AC Sparta Praha,2025-03-01,16:00,24,2025-03-01 16:00:00,14,6,False
FC Slovan Liberec,AC Sparta Praha,2025-03-15,19:00,26,2025-03-15 19:00:00,12,6,True
AC Sparta Praha,FC Viktoria Plzeň,2025-03-30,18:30,27,2025-03-30 18:30:00,6,13,True
FK Jablonec,FC Viktoria Plzeň,2024-08-03,17:00,3,2024-08-03 17:00:00,7,13,False
FK Dukla Praha,FK Jablonec,2024-08-10,14:30,4,2024-08-10 14:30:00,15,7,False
1. FC Slovácko,FK Jablonec,2024-08-31,17:00,7,2024-08-31 17:00:00,16,7,False
MFK Karviná,FK Jablonec,2024-09-21,16:00,9,2024-09-21 16:00:00,9,7,False
FK Jablonec,FC Hradec Králové,2024-09-28,19:00,10,2024-09-28 19:00:00,7,8,False
FC Slovan Liberec,FK Jablonec,2024-10-05,19:00,11,2024-10-05 19:00:00,12,7,False
SK Sigma Olomouc,FK Jablonec,2024-10-26,19:00,13,2024-10-26 19:00:00,14,7,False
FK Jablonec,FK Teplice,2024-11-02,16:00,14,2024-11-02 16:00:00,7,11,False
FC Viktoria Plzeň,FK Jablonec,2024-12-01,18:30,17,2024-12-01 18:30:00,13,7,False
FK Jablonec,SK Dynamo České Budějovice,2024-12-04,17:30,8,2024-12-04 17:30:00,7,10,False
FK Jablonec,FK Dukla Praha,2024-12-07,16:00,18,2024-12-07 16:00:00,7,15,False
FK Jablonec,1. FC Slovácko,2025-02-09,13:00,21,2025-02-09 13:00:00,7,16,False
SK Dynamo České Budějovice,FK Jablonec,2025-02-15,16:00,22,2025-02-15 16:00:00,10,7,False
FK Jablonec,MFK Karviná,2025-02-23,15:30,23,2025-02-23 15:30:00,7,9,False
FC Hradec Králové,FK Jablonec,2025-03-01,16:00,24,2025-03-01 16:00:00,8,7,False
FK Jablonec,FC Slovan Liberec,2025-03-08,16:00,25,2025-03-08 16:00:00,7,12,True
FK Jablonec,SK Sigma Olomouc,2025-03-29,13:30,27,2025-03-29 13:30:00,7,14,True
FK Teplice,FK Jablonec,2025-04-06,13:00,28,2025-04-06 13:00:00,11,7,True
FC Hradec Králové,FK Teplice,2024-07-21,20:00,1,2024-07-21 20:00:00,8,11,False
FC Viktoria Plzeň,FC Hradec Králové,2024-07-28,20:00,2,2024-07-28 20:00:00,13,8,False
FC Hradec Králové,FK Dukla Praha,2024-08-17,14:30,5,2024-08-17 14:30:00,8,15,False
FC Hradec Králové,1. FC Slovácko,2024-09-21,13:30,9,2024-09-21 13:30:00,8,16,False
MFK Karviná,FC Hradec Králové,2024-10-05,13:30,11,2024-10-05 13:30:00,9,8,False
FC Hradec Králové,SK Sigma Olomouc,2024-10-19,13:30,12,2024-10-19 13:30:00,8,14,False
SK Dynamo České Budějovice,FC Hradec Králové,2024-10-26,16:00,13,2024-10-26 16:00:00,10,8,False
FC Slovan Liberec,FC Hradec Králové,2024-11-09,16:00,15,2024-11-09 16:00:00,12,8,False
FC Hradec Králové,FC Viktoria Plzeň,2024-11-23,19:00,16,2024-11-23 19:00:00,8,13,False
FK Dukla Praha,FC Hradec Králové,2024-12-14,13:30,19,2024-12-14 13:30:00,15,8,False
FC Hradec Králové,MFK Karviná,2025-03-09,15:30,25,2025-03-09 15:30:00,8,9,True
SK Sigma Olomouc,FC Hradec Králové,2025-03-16,13:00,26,2025-03-16 13:00:00,14,8,True
FC Hradec Králové,SK Dynamo České Budějovice,2025-03-30,15:30,27,2025-03-30 15:30:00,8,10,True
1. FC Slovácko,FC Hradec Králové,2025-04-09,18:00,23,2025-04-09 18:00:00,16,8,True
FC Hradec Králové,FC Slovan Liberec,2025-04-12,00:00,29,2025-04-12 00:00:00,8,12,True
FK Teplice,FC Hradec Králové,2025-04-19,00:00,30,2025-04-19 00:00:00,11,8,True
MFK Karviná,FC Slovan Liberec,2024-07-21,14:30,1,2024-07-21 14:30:00,9,12,False
FC Viktoria Plzeň,MFK Karviná,2024-08-11,20:00,4,2024-08-11 20:00:00,13,9,False
FK Teplice,MFK Karviná,2024-08-24,17:00,6,2024-08-24 17:00:00,11,9,False
MFK Karviná,FK Dukla Praha,2024-09-01,14:30,7,2024-09-01 14:30:00,9,15,False
1. FC Slovácko,MFK Karviná,2024-09-28,16:00,10,2024-09-28 16:00:00,16,9,False
MFK Karviná,SK Dynamo České Budějovice,2024-10-20,15:30,12,2024-10-20 15:30:00,9,10,False
MFK Karviná,SK Sigma Olomouc,2024-11-02,16:00,14,2024-11-02 16:00:00,9,14,False
MFK Karviná,FC Viktoria Plzeň,2024-12-08,13:00,18,2024-12-08 13:00:00,9,13,False
MFK Karviná,FK Teplice,2025-02-01,13:30,20,2025-02-01 13:30:00,9,11,False
MFK Karviná,1. FC Slovácko,2025-03-02,15:30,24,2025-03-02 15:30:00,9,16,False
FK Dukla Praha,MFK Karviná,2025-03-12,18:00,21,2025-03-12 18:00:00,15,9,True
SK Dynamo České Budějovice,MFK Karviná,2025-03-16,15:30,26,2025-03-16 15:30:00,10,9,True
SK Sigma Olomouc,MFK Karviná,2025-04-06,15:30,28,2025-04-06 15:30:00,14,9,True
FC Slovan Liberec,MFK Karviná,2025-04-19,00:00,30,2025-04-19 00:00:00,12,9,True
SK Dynamo České Budějovice,SK Sigma Olomouc,2024-07-20,17:00,1,2024-07-20 17:00:00,10,14,False
SK Dynamo České Budějovice,FC Viktoria Plzeň,2024-08-18,17:00,5,2024-08-18 17:00:00,10,13,False
FK Dukla Praha,SK Dynamo České Budějovice,2024-08-25,17:00,6,2024-08-25 17:00:00,15,10,False
SK Dynamo České Budějovice,1. FC Slovácko,2024-10-05,16:00,11,2024-10-05 16:00:00,10,16,False
SK Dynamo České Budějovice,FC Slovan Liberec,2024-11-03,13:00,14,2024-11-03 13:00:00,10,12,False
FK Teplice,SK Dynamo České Budějovice,2024-11-10,13:00,15,2024-11-10 13:00:00,11,10,False
FC Viktoria Plzeň,SK Dynamo České Budějovice,2024-12-15,18:30,19,2024-12-15 18:30:00,13,10,False
SK Dynamo České Budějovice,FK Dukla Praha,2025-02-01,16:00,20,2025-02-01 16:00:00,10,15,False
1. FC Slovácko,SK Dynamo České Budějovice,2025-03-08,16:00,25,2025-03-08 16:00:00,16,10,True
FC Slovan Liberec,SK Dynamo České Budějovice,2025-04-05,16:00,28,2025-04-05 16:00:00,12,10,True
SK Dynamo České Budějovice,FK Teplice,2025-04-12,00:00,29,2025-04-12 00:00:00,10,11,True
SK Sigma Olomouc,SK Dynamo České Budějovice,2025-04-19,00:00,30,2025-04-19 00:00:00,14,10,True
SK Sigma Olomouc,FK Teplice,2024-08-03,20:00,3,2024-08-03 20:00:00,14,11,False
FK Teplice,FC Slovan Liberec,2024-08-10,17:00,4,2024-08-10 17:00:00,11,12,False
FK Teplice,FK Dukla Praha,2024-10-05,16:00,11,2024-10-05 16:00:00,11,15,False
1. FC Slovácko,FK Teplice,2024-10-20,15:30,12,2024-10-20 15:30:00,16,11,False
FK Teplice,SK Sigma Olomouc,2024-11-30,16:00,17,2024-11-30 16:00:00,11,14,False
FC Viktoria Plzeň,FK Teplice,2024-12-05,20:00,8,2024-12-05 20:00:00,13,11,False
FC Slovan Liberec,FK Teplice,2024-12-08,15:30,18,2024-12-08 15:30:00,12,11,False
FK Teplice,FC Viktoria Plzeň,2025-02-16,15:30,22,2025-02-16 15:30:00,11,13,False
FK Dukla Praha,FK Teplice,2025-03-08,13:30,25,2025-03-08 13:30:00,15,11,True
FK Teplice,1. FC Slovácko,2025-03-15,16:00,26,2025-03-15 16:00:00,11,16,True
FC Slovan Liberec,SK Sigma Olomouc,2024-07-28,14:30,2,2024-07-28 14:30:00,12,14,False
FC Slovan Liberec,FC Viktoria Plzeň,2024-09-01,20:00,7,2024-09-01 20:00:00,12,13,False
FK Dukla Praha,FC Slovan Liberec,2024-09-28,13:30,10,2024-09-28 13:30:00,15,12,False
FC Slovan Liberec,1. FC Slovácko,2024-10-26,13:30,13,2024-10-26 13:30:00,12,16,False
SK Sigma Olomouc,FC Slovan Liberec,2024-11-24,18:30,16,2024-11-24 18:30:00,14,12,False
FC Viktoria Plzeň,FC Slovan Liberec,2025-02-08,19:00,21,2025-02-08 19:00:00,13,12,False
FC Slovan Liberec,FK Dukla Praha,2025-03-02,13:00,24,2025-03-02 13:00:00,12,15,False
1. FC Slovácko,FC Slovan Liberec,2025-03-30,13:00,27,2025-03-30 13:00:00,16,12,True
FK Dukla Praha,FC Viktoria Plzeň,2024-07-20,20:00,1,2024-07-20 20:00:00,15,13,False
FC Viktoria Plzeň,SK Sigma Olomouc,2024-09-17,17:00,6,2024-09-17 17:00:00,13,14,False
1. FC Slovácko,FC Viktoria Plzeň,2024-11-03,15:30,14,2024-11-03 15:30:00,16,13,False
SK Sigma Olomouc,FC Viktoria Plzeň,2025-02-03,18:00,20,2025-02-03 18:00:00,14,13,False
FC Viktoria Plzeň,1. FC Slovácko,2025-04-06,18:30,28,2025-04-06 18:30:00,13,16,True
FC Viktoria Plzeň,FK Dukla Praha,2025-04-19,00:00,30,2025-04-19 00:00:00,13,15,True
SK Sigma Olomouc,FK Dukla Praha,2024-09-22,15:30,9,2024-09-22 15:30:00,14,15,False
SK Sigma Olomouc,1. FC Slovácko,2024-11-27,17:00,15,2024-11-27 17:00:00,14,16,False
FK Dukla Praha,SK Sigma Olomouc,2025-02-22,13:30,23,2025-02-22 13:30:00,15,14,False
1. FC Slovácko,SK Sigma Olomouc,2025-04-12,00:00,29,2025-04-12 00:00:00,16,14,True
FK Dukla Praha,1. FC Slovácko,2024-12-04,17:30,8,2024-12-04 17:30:00,15,16,False
1. FC Slovácko,FK Dukla Praha,2025-02-15,16:00,22,2025-02-15 16:00:00,16,15,False
